0.000000000000000000e+00,inf,-inf,inf,-inf,inf,-inf,inf,-inf,inf
-inf,-6.160706746504360658e+303,-inf,inf,-inf,inf,-inf,inf,-inf,-5.034865572019925396e+304
inf,inf,6.571420529604652018e+304,inf,-inf,inf,-inf,inf,4.027892457615940317e+305,inf
-inf,-inf,-inf,-5.257136423683721615e+305,-inf,inf,-inf,-1.288925586437100808e+306,-inf,-4.027892457615940317e+305
inf,inf,inf,inf,1.839997748289302643e+306,inf,1.933388379655651290e+306,inf,9.666941898278256449e+305,inf
-inf,-inf,-inf,-inf,-inf,-3.222313966092752254e+306,-inf,-1.288925586437100808e+306,-inf,-4.833470949139128225e+305
inf,inf,inf,inf,3.222313966092752254e+306,inf,2.577851172874201616e+306,inf,9.666941898278256449e+305,inf
-inf,-inf,-inf,-1.611156983046376127e+306,-inf,-2.577851172874201616e+306,-inf,-9.666941898278256449e+305,-inf,-4.027892457615940317e+305
inf,inf,4.027892457615940317e+305,inf,1.288925586437100808e+306,inf,1.288925586437100808e+306,inf,5.639049440662316132e+305,inf
-inf,-8.055784915231880049e+304,-inf,-1.611156983046376010e+305,-inf,-6.444627932185504040e+305,-inf,-4.027892457615940317e+305,-inf,-8.055784915231880049e+304
